Camera_Id,SourceId,Location,Issue_Category,Issue_Type,Issue_Description,Current_Value,Suggested_Fix,Severity
90877,104017,Solar,Duplicates,Duplicate_Location,Duplicate Location value found,Solar,"Review cameras: Solar, Solar",Critical
91416,102508,Solar,Duplicates,Duplicate_Location,Duplicate Location value found,Solar,"Review cameras: Solar, Solar",Critical
91694,102606,None                                                                                                ,Duplicates,Duplicate_Location,Duplicate Location value found,None                                                                                                ,"Review cameras: None                                                                                                , None                                                                                                , None                                                                                                , None                                                                                                ",Critical
91698,102637,None                                                                                                ,Duplicates,Duplicate_Location,Duplicate Location value found,None                                                                                                ,"Review cameras: None                                                                                                , None                                                                                                , None                                                                                                , None                                                                                                ",Critical
91428,102583,None                                                                                                ,Duplicates,Duplicate_Location,Duplicate Location value found,None                                                                                                ,"Review cameras: None                                                                                                , None                                                                                                , None                                                                                                , None                                                                                                ",Critical
91701,102584,None                                                                                                ,Duplicates,Duplicate_Location,Duplicate Location value found,None                                                                                                ,"Review cameras: None                                                                                                , None                                                                                                , None                                                                                                , None                                                                                                ",Critical
90335,103892,UDOT Rural - Trailer 3                                                                              ,Duplicates,Duplicate_Coordinates,Multiple cameras at same coordinates,"38.737400,-112.584870",Verify camera positions,High
91136,104120,"I-15 NB @ Milepost 144.03, MD                                                                       ",Duplicates,Duplicate_Coordinates,Multiple cameras at same coordinates,"38.737400,-112.584870",Verify camera positions,High
88148,238268,"I-70 WB @ I-15 / Cove Fort / MP 2.4, MD",Geometric,High_Offset,Offset from route > 1000 ft,1145.93 ft,Verify camera location or route assignment,Medium
91159,104046,"Lakeview Pkwy @ Center St, PVO                                                                      ",Geometric,High_Offset,Offset from route > 1000 ft,1212.31 ft,Verify camera location or route assignment,Medium
91307,104307,"Legacy Pkwy / SR-67 SB @ 250 N / US-89 / MP 12.1, FRM",Geometric,High_Offset,Offset from route > 1000 ft,1023.57 ft,Verify camera location or route assignment,Medium
90457,103364,"I-15 SB @ Milepost 117.42, BV",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),4324.85 ft (0.819 mi),Verify milepost assignment,Medium
90590,103363,"I-15 SB @ Milepost 118.42, BV",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),3221.86 ft (0.610 mi),Verify milepost assignment,Medium
88512,238256,"I-15 NB @ Milepost 130.15, BV",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),3182.26 ft (0.603 mi),Verify milepost assignment,Medium
90743,103185,"I-15 NB @ Fillmore / MP 161.43, MD",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),3005.38 ft (0.569 mi),Verify milepost assignment,Medium
90483,103094,"I-15 SB @ JU/MD Co Line / MP 194.55, JU",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),16545.41 ft (3.134 mi),Verify milepost assignment,Medium
90164,104456,"I-70 @ Milepost 135.6, EM ",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),17128.85 ft (3.244 mi),Verify milepost assignment,Medium
91371,104457,"I-70 @ Milepost 138.7, EM",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),10574.26 ft (2.003 mi),Verify milepost assignment,Medium
91774,713733,"SR-10 @ MP 62.95, CC",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),10338.77 ft (1.958 mi),Verify milepost assignment,Medium
90550,103298,"1600 E / SR-13 @ Main St / SR-102 / MP 11.17, TRE",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),47698.46 ft (9.034 mi),Verify milepost assignment,Medium
90025,103353,"SR-150 @ Milepost 50, SU",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),4121.57 ft (0.781 mi),Verify milepost assignment,Medium
91307,104307,"Legacy Pkwy / SR-67 SB @ 250 N / US-89 / MP 12.1, FRM",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),3696.00 ft (0.700 mi),Verify milepost assignment,Medium
92925,1159476,"SR-7 @ MP 1, Desert Color Pkwy, STG",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),3874.99 ft (0.734 mi),Verify milepost assignment,Medium
91059,103870,"Mountain View / SR-85 NB @ 3100 S / MP 22.5, WVC                                                    ",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),3604.66 ft (0.683 mi),Verify milepost assignment,Medium
91344,104424,"US-191 @ Milepost 265.7, DU",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),7732.03 ft (1.464 mi),Verify milepost assignment,Medium
90091,103907,"US-191 @ Cedar Springs Rd / MP 391.77, DG                                                           ",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),2783.09 ft (0.527 mi),Verify milepost assignment,Medium
90139,103908,"US-191 @ Antelope Flat / MP 400.8, DG                                                               ",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),2977.92 ft (0.564 mi),Verify milepost assignment,Medium
90337,104218,"1500 E / US-40 @ 1500 E / SR-45 / MP 148.6, NPL                                                     ",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),573936.00 ft (108.700 mi),Verify milepost assignment,Medium
91578,102660,"US-6 @ Colton Shed / MP 217.11, UT",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),3570.34 ft (0.676 mi),Verify milepost assignment,Medium
90105,103497,"US-89 @ Milepost 234.47, SP                                                                         ",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),3027.55 ft (0.573 mi),Verify milepost assignment,Medium
90078,103498,"US-89 @ Milepost 244.6, SP                                                                          ",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),3197.04 ft (0.606 mi),Verify milepost assignment,Medium
91386,103137,"US-89 @ SR-132 / Pigeon Hollow Jct / MP 267.37, SP",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),3416.69 ft (0.647 mi),Verify milepost assignment,Medium
91402,103095,"US-89 @ UT/SP County Line / MP 297.03, SP                                                           ",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),3822.19 ft (0.724 mi),Verify milepost assignment,Medium
90331,104177,"US-89 @ Thistle / MP 311.09, UT                                                                     ",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),4036.03 ft (0.764 mi),Verify milepost assignment,Medium
84934,103852,"US-89 @ Milepost 497.5, GRC                                                                         ",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),5045.04 ft (0.956 mi),Verify milepost assignment,Medium
90616,103126,"US-89 @ UT/ID State Line / MP 502.57, RI",Geometric,High_MP_Difference,Milepost difference > 2640 ft (0.5 mi),5965.34 ft (1.130 mi),Verify milepost assignment,Medium
90362,104439,Portable RWIS 2 ,Naming,Missing_At_Separator,Location missing @ separator,Portable RWIS 2 ,Add @ to separate route from landmark,Medium
90362,104439,Portable RWIS 2 ,Naming,Missing_Comma_Separator,Location missing comma before city/county,Portable RWIS 2 ,Add comma before city/county abbreviation,Medium
90335,103892,UDOT Rural - Trailer 3                                                                              ,Naming,Missing_At_Separator,Location missing @ separator,UDOT Rural - Trailer 3                                                                              ,Add @ to separate route from landmark,Medium
90335,103892,UDOT Rural - Trailer 3                                                                              ,Naming,Missing_Comma_Separator,Location missing comma before city/county,UDOT Rural - Trailer 3                                                                              ,Add comma before city/county abbreviation,Medium
